Tempo (0.100 seg);PV;SP;MV
73.30;59.29;60.00;42.24
73.40;59.05;60.00;42.45
73.50;60.22;60.00;41.48
73.60;59.79;60.00;41.84
73.70;60.62;60.00;41.14
73.80;60.63;60.00;41.12
73.90;60.88;60.00;40.91
74.00;59.89;60.00;41.74
74.10;60.95;60.00;40.85
74.20;60.95;60.00;40.84
74.30;59.36;60.00;42.16
74.40;60.84;60.00;40.93
74.50;59.20;60.00;42.30
74.60;60.78;60.00;40.98
74.70;60.76;60.00;40.99
74.80;61.09;60.00;40.70
74.90;60.44;60.00;41.24
75.00;58.82;60.00;42.60
75.10;60.93;60.00;40.83
75.20;59.60;60.00;41.95
75.30;60.43;60.00;41.25
75.40;60.98;60.00;40.79
75.50;61.02;60.00;40.75
75.60;60.80;60.00;40.92
75.70;60.12;60.00;41.49
75.80;60.87;60.00;40.85
75.90;59.25;60.00;42.21
76.00;60.77;60.00;40.94
76.10;59.99;60.00;41.59
76.20;58.97;60.00;42.45
76.30;58.56;60.00;42.80
76.40;59.65;60.00;41.89
76.50;60.55;60.00;41.14
76.60;60.24;60.00;41.40
76.70;58.77;60.00;42.63
76.80;60.18;60.00;41.45
76.90;59.40;60.00;42.11
77.00;60.05;60.00;41.57
77.10;59.74;60.00;41.83
77.20;58.92;60.00;42.52
77.30;59.19;60.00;42.30
77.40;58.85;60.00;42.59
77.50;60.87;60.00;40.91
77.60;59.20;60.00;42.30
77.70;60.06;60.00;41.58
77.80;60.28;60.00;41.40
77.90;59.84;60.00;41.77
78.00;60.41;60.00;41.29
78.10;60.86;60.00;40.91
78.20;59.88;60.00;41.73
78.30;59.71;60.00;41.87
78.40;59.33;60.00;42.19
78.50;59.08;60.00;42.41
78.60;60.29;60.00;41.40
78.70;60.62;60.00;41.11
78.80;58.80;60.00;42.65
78.90;59.46;60.00;42.10
79.00;60.26;60.00;41.43
79.10;60.14;60.00;41.53
79.20;59.82;60.00;41.79
79.30;60.04;60.00;41.61
79.40;60.60;60.00;41.14
79.50;59.62;60.00;41.96
79.60;60.98;60.00;40.82
79.70;60.93;60.00;40.85
79.80;60.57;60.00;41.15
79.90;59.94;60.00;41.67
80.00;60.28;60.00;41.39
80.10;60.11;60.00;41.53
80.20;59.33;60.00;42.18
80.30;61.00;60.00;40.79
80.40;59.66;60.00;41.90
80.50;60.28;60.00;41.39
80.60;59.89;60.00;41.71
80.70;60.19;60.00;41.46
80.80;60.14;60.00;41.50
80.90;60.20;60.00;41.45
81.00;58.90;60.00;42.54
81.10;59.47;60.00;42.07
81.20;59.35;60.00;42.18
81.30;59.36;60.00;42.18
81.40;60.48;60.00;41.24
81.50;59.26;60.00;42.25
81.60;58.86;60.00;42.60
81.70;59.20;60.00;42.33
81.80;59.03;60.00;42.48
81.90;60.96;60.00;40.86
82.00;59.71;60.00;41.90
82.10;60.90;60.00;40.91
82.20;60.59;60.00;41.16
82.30;61.15;60.00;40.68
82.40;60.41;60.00;41.29
82.50;59.67;60.00;41.91
82.60;61.15;60.00;40.67
82.70;59.27;60.00;42.25
82.80;59.90;60.00;41.72
82.90;59.62;60.00;41.95
83.00;61.09;60.00;40.72
83.10;59.25;60.00;42.26
83.20;60.75;60.00;41.00
83.30;58.87;60.00;42.58
83.40;60.70;60.00;41.05
83.50;60.87;60.00;40.90
83.60;60.56;60.00;41.15
83.70;59.96;60.00;41.65
83.80;60.56;60.00;41.15
83.90;59.25;60.00;42.25
84.00;60.08;60.00;41.56
84.10;59.94;60.00;41.67
84.20;59.59;60.00;41.97
84.30;60.27;60.00;41.40
84.40;59.60;60.00;41.96
84.50;60.98;60.00;40.80
84.60;60.49;60.00;41.21
84.70;58.93;60.00;42.52
84.80;60.38;60.00;41.31
84.90;60.93;60.00;40.84
85.00;61.07;60.00;40.71
85.10;59.89;60.00;41.70
85.20;58.84;60.00;42.58
85.30;59.38;60.00;42.14
85.40;59.90;60.00;41.70
85.50;60.87;60.00;40.89
85.60;60.27;60.00;41.39
85.70;60.45;60.00;41.24
85.80;59.89;60.00;41.70
85.90;59.09;60.00;42.37
86.00;59.02;60.00;42.44
86.10;60.11;60.00;41.53
86.20;59.98;60.00;41.64
86.30;59.08;60.00;42.40
86.40;59.62;60.00;41.95
86.50;58.74;60.00;42.69
86.60;58.93;60.00;42.54
86.70;60.08;60.00;41.58
